cell_name,cell_idx,drug_name,drug_idx,IC50
KMS-12-BM,707,Camptothecin,85,-2.82856
CAL-29,636,PHA-793887,283,3.356946
HCC1395,598,T0901317,343,5.074041
SW48,563,PIK-93,287,3.157428
COLO-668,47,NPK76-II-72-1,245,2.621016
RL,763,Tipifarnib,356,4.847443
Daudi,568,Fludarabine,143,4.066526
HT-1197,442,Panobinostat,267,-3.197342
ChaGo-K-1,624,GW441756,175,3.464708
NCI-H1651,498,Obatoclax Mesylate,253,0.112507
OC-314,74,GSK2578215A,163,4.525823
HC-1,749,AZ6102,36,1.086114
A375,536,GSK2110183B,162,5.580505
MDA-MB-157,323,BAY-61-3606,61,4.766438
VCaP,751,PD173074,272,4.626986
COR-L303,310,RVX-208,312,3.22932
TYK-nu,151,Alisertib,18,2.496141
WM793B,666,VX-11e,386,2.664298
SW872,822,Vinblastine,380,-3.005135
TOV-112D,831,Shikonin,332,-1.821537
SK-ES-1,782,Thapsigargin,355,-5.779441
NCI-H1944,514,AZ960,38,2.4955
SBC-1,192,Piperlongumine,289,2.029426
MM1S,877,AZD8055,56,-1.749182
MMAc-SF,870,ABT737,7,3.097058
KON,388,SL0101,334,4.218884
NCI-H1781,507,ZG-10,408,1.095211
CAL-85-1,628,BX-912,81,2.347051
KMRC-1,393,Ipatasertib,192,1.824135
RC-K8,256,Mycophenolic acid,238,1.791687
Hey,664,NSC319726,248,-6.299057
SNB75,18,Z-LLNle-CHO,407,1.002024
SNU-C2B,527,XAV939,398,4.964172
HuP-T4,325,CI-1040,98,-0.000189
LU-165,132,Selumetinib,327,7.641656
TOV-21G,830,SN-38,335,-2.512846
IST-SL1,76,Camptothecin,85,-2.066827
IGROV-1,54,MN-64,236,3.517534
BHT-101,676,CZC24832,112,4.141333
BV-173,659,Etoposide,138,0.137384
NCI-H1694,495,Docetaxel,123,2.131435
NCI-H727,788,XAV939,398,5.349654
NCI-H1975,511,AZD1480,41,1.618621
HDQ-P1,740,MK-8776,234,5.270857
AM-38,294,AZ6102,36,3.952232
SW1088,819,Pictilisib,286,-0.206327
Saos-2,758,ZM447439,410,1.497407
SN12C,17,I-CBP112,183,5.138494
SW1463,561,PLX-4720,290,5.627112
NB69,91,GSK1904529A,161,3.639778
IHH-4,385,Epirubicin,133,-2.248105
QGP-1,188,BPTES,77,5.244065
LC4-1,341,NU7441,249,2.092491
ES8,106,Topotecan,358,-3.141483
NCI-H23,43,ABT737,7,3.061076
SK-OV-3,6,GSK429286A,170,4.982667
D-542MG,62,MG-132,226,-1.802209
OS-RC-2,86,Epothilone B,134,-6.533459
ChaGo-K-1,624,GNE-317,155,1.713021
NMC-G1,364,Embelin,129,1.99865
OCI-AML5,267,XMD13-2,400,2.125924
HARA,383,YM201636,406,2.213129
ECC10,121,AT7867,32,3.833129
PL-21,258,Doramapimod,124,2.890176
COLO-824,652,Veliparib,378,5.04276
SU-DHL-6,224,Trametinib,363,0.666572
SW1990,828,Cediranib,93,4.217037
OCUB-M,88,AZD8055,56,-2.854495
ESS-1,727,Masitinib,224,2.679156
NCI-H2170,473,UNC0379,371,2.190364
JIMT-1,721,Erlotinib,137,3.391103
A375,536,AZD1480,41,1.123759
COR-L95,315,AZD4877,46,0.908209
NMC-G1,364,Vorinostat,384,3.697083
KU812,144,FH535,141,2.179818
NCI-H2023,506,OSU-03012,260,2.493247
D-263MG,487,Bosutinib,76,4.332538
IGROV-1,54,Podophyllotoxin bromide,291,-0.08911
COLO-668,47,Salubrinal,315,3.958251
HLE,3,Gallibiscoquinazole,150,2.889136
OV-17R,278,PD173074,272,2.334019
EFO-21,733,FR-180204,146,5.495588
KALS-1,395,AZD4877,46,-4.356581
SW1573,826,Enzastaurin,132,4.537053
COLO-668,47,Serdemetan,329,3.152388
EB-3,534,Alectinib,17,3.367823
EPLC-272H,728,I-BET-151,180,0.455819
OCI-AML3,268,Voxtalisib,385,4.782822
MHH-PREB-1,207,BAM7,60,5.04345
A431,683,Osimertinib,259,-0.028434
NCI-H187,516,TW 37,367,-0.39149
HH,438,Leflunomide,212,5.072616
SCH,203,GSK-J4,157,3.774668
COLO-792,45,MN-64,236,4.29219
OCI-M1,264,TPCA-1,362,-1.643137
SLVL,197,PD0325901,271,-0.035842
NCI-H1299,417,XAV939,398,4.477803
HuP-T4,325,ML323,235,5.372686
SK-N-AS,772,CZC24832,112,5.893051
KMH-2,400,NSC319726,248,-1.619676
IST-SL1,76,CMK,100,3.216234
MPP-89,75,CD532,92,0.673598
NCI-H1781,507,Olaparib,255,4.298633
BT-549,33,PF-00299804,276,1.610402
CPC-N,651,Vinblastine,380,-4.601296
SUP-B15,837,Venetoclax,379,-6.33158
KYSE-150,716,PD0325901,271,1.136732
OVCAR-3,21,BPTES,77,3.553687
AM-38,294,Dacinostat,115,-2.417635
T84,528,GSK429286A,170,5.838952
OS-RC-2,86,PF-562271,278,1.666797
SISO,213,Y-39983,404,4.226759
SW156,825,VX-702,387,3.615245
D-502MG,63,Camptothecin,85,-2.042778
WM35,667,Tanespimycin,347,-0.509462
A172,540,Avagacestat,33,6.02606
CAL-29,636,AGK2,14,2.66555
PA-TU-8988T,260,Entospletinib,131,4.13915
ESS-1,727,BMS-754807,74,1.443046
D-336MG,401,Osimertinib,259,0.961881
U-118-MG,853,alpha-lipoic acid,20,8.357891
SCC-15,757,CRT0105950,106,4.71555
NCI-H1944,514,AZD5153,47,1.055602
SJSA-1,783,BIBR-1532,67,5.428359
SISO,213,Capivasertib,86,3.777954
OACM5-1,252,Mitoxantrone,231,-2.159143
OVTOKO,238,AT7867,32,5.612636
KMS-11,391,KIN001-266,203,2.737596
RPMI-8402,220,AGI-5198,12,3.616934
LP-1,170,CGP-60474,95,-2.88487
Caov-3,619,Bexarotene,64,4.268723
HuCCT1,375,Vinorelbine,381,0.425189
VA-ES-BJ,840,Oxaliplatin,262,6.167009
AGS,573,Olaparib,255,3.867848
COLO-792,45,YK-4-279,405,1.878005
BV-173,659,Rapamycin,303,-3.409054
NCI-H510A,627,Linifanib,218,2.656671
SC-1,217,AZD3514,43,2.680191
COR-L23,312,(5Z)-7-Oxozeaenol,0,1.56527
HCC1428,596,LMP744,221,5.447192
HOS,543,LY2109761,223,4.998884
OVCA420,663,CAY10566,87,3.770791
MDST8,321,Pevonedistat,275,-0.434183
T-T,152,QL-XII-47,300,4.716134
HTC-C3,298,Obatoclax Mesylate,253,0.16889
WM278,668,Gallibiscoquinazole,150,3.766563
LN-18,450,Mycophenolic acid,238,2.263957
T-T,152,SGC0946,331,1.73476
LC4-1,341,SNX-2112,336,-1.48544
MOG-G-CCM,326,EHT-1864,126,5.323782
SK-MEL-30,211,CP466722,101,1.647027
SCC-9,754,Ribociclib,306,4.383123
NCI-H1694,495,Wnt-C59,393,4.702463
NCI-H2029,490,KU-55933,206,5.481496
NCI-H2171,488,Selisistat,326,4.301534
CAL-85-1,628,AR-42,24,0.649317
CAPAN-2,643,AZD5991,51,6.951471
G-292-Clone-A141B1,580,CI-1040,98,3.97678
KMS-11,391,ACY-1215,9,2.428833
ES5,108,SL0101,334,4.836288
KYSE-510,711,Vinblastine,380,-5.375749
TC-71,233,EHT-1864,126,2.623368
RT-112,219,Kobe2602,205,3.651373
NB(TU)1-10,368,Saracatinib,317,2.182684
SNU-16,812,Piperlongumine,289,1.680274
FADU,582,VNLG/124,383,3.699929
LU-135,134,I-BET-762,181,3.741849
T47D,20,AT-7519,30,1.703022
D-502MG,63,CZC24832,112,6.558526
QIMR-WIL,272,I-BRD9,182,3.793536
C-4-I,613,MIM1,228,4.211098
SCC-3,204,AZD4547,45,0.960178
OAW-28,283,Cyclophosphamide,110,5.836999
SK-GT-4,285,Vinorelbine,381,-0.267954
CFPAC-1,37,Venetoclax,379,5.97879
SW1463,561,Zibotentan,409,6.941622
UACC-257,23,Mycophenolic acid,238,3.796124
SHP-77,752,Pyrimethamine,297,3.247414
KMS-12-BM,707,ICL-SIRT078,186,2.295222
Caov-4,618,BIBF-1120,66,3.812048
A172,540,NPK76-II-72-1,245,2.502721
NCI-H2052,471,AZ20,35,1.480972
SUP-T1,818,Romidepsin,308,-6.156981
RD,570,Teniposide,352,1.888982
JHH-1,399,WZ4003,397,5.860585
CFPAC-1,37,Kobe2602,205,5.201073
C3A,868,Alisertib,18,4.746169
ES4,109,BMS-509744,72,1.884072
SLVL,197,GSK650394,172,4.067221
COLO-792,45,AS601245,27,5.039093
C32,604,Y-39983,404,6.868161
NCI-H1963,512,TW 37,367,-0.854717
MCF7,51,UNC0638,372,5.365404
MOLP-8,245,Wnt-C59,393,4.189929
HCC-78,744,Niraparib,244,3.250469
Hey,664,Sepantronium bromide,328,-4.260744
SCC-4,755,SN-38,335,-3.140923
NCI-H1568,504,AZD3514,43,2.733448
SK-LU-1,779,XMD13-2,400,3.694015
SNU-61,57,Luminespib,222,1.286467
KARPAS-299,698,LFM-A13,215,4.769381
ZR-75-30,665,LFM-A13,215,4.351445
huH-1,374,AKT inhibitor VIII,16,5.384098
OVCAR-4,16,Dactinomycin,116,-3.414322
KCL-22,692,Entinostat,130,0.912925
HCC-366,746,AZD3514,43,3.497041
RCC10RGB,83,Talazoparib,345,5.069479
LS-180,446,Piperlongumine,289,3.031433
ES-2,583,Pyrimethamine,297,0.648246
SW1271,820,Olaparib,255,5.96037
NCI-H2291,483,LGK974,216,7.835745
DND-41,645,Z-LLNle-CHO,407,-0.492011
NCI-H1792,520,GSK2606414,164,3.174216
HCC-15,748,Dacinostat,115,-2.26127
EC-GI-10,119,Nelarabine,241,5.685787
KNS-81-FD,861,Epirubicin,133,1.415038
HuP-T4,325,QL-X-138,298,0.87983
NCI-H345,475,EPZ5676,136,6.506979
SAS,181,UNC0642,373,2.158164
MS-1,92,Pazopanib,269,3.395575
H9,875,NU7441,249,2.941459
WSU-DLCL2,228,JNK Inhibitor VIII,197,4.416625
OC-314,74,GSK690693,173,1.835761
SBC-1,192,IPA-3,191,6.264833
HCC1500,595,AZD4547,45,2.271547
Farage,581,IPA-3,191,0.754948
CA46,614,LIMK1 inhibitor BMS4,217,5.430984
SW684,836,SNX-2112,336,4.623524
SW48,563,SGC-CBP30,330,5.119498
D-502MG,63,CX-5461,108,3.311367
LS-180,446,ACY-1215,9,2.488436
SW1088,819,Ibrutinib,184,5.727416
P12-ICHIKAWA,269,Torin 2,359,-2.223047
U251,24,AZD4877,46,-5.118901
SW872,822,TAK-715,344,4.235152
NCI-H596,796,Epirubicin,133,2.363217
BHT-101,676,Obatoclax Mesylate,253,-1.567953
OCUB-M,88,Obatoclax Mesylate,253,1.874855
A673,571,TAK-715,344,3.7086
HEL,381,Ponatinib,293,-0.295351
NCI-H1838,518,Ponatinib,293,2.701185
MOLT-13,244,AZD1332,40,3.692751
L-363,145,Phenformin,284,3.171072
KP-3,360,Pevonedistat,275,3.82087
LAMA-84,176,CZC24832,112,4.29186
JVM-3,700,Tanespimycin,347,-1.409413
HO-1-N-1,380,Pyridostatin,296,2.539666
SW1710,234,GSK650394,172,0.428284
SKG-IIIa,201,Luminespib,222,-2.652022
451Lu,869,Buparlisib,80,1.910259
LC-2-ad,136,AZD6738,54,3.040722
CAL-12T,639,RU-SKI 43,309,4.447947
NCI-H748,786,Linsitinib,219,3.853002
BE-13,871,AZD5582,50,-0.142259
IM-95,386,QL-XII-47,300,0.910695
MEG-01,320,LMP744,221,-1.683747
OVTOKO,238,AZD7762,55,0.721713
SK-GT-2,212,UNC0379,371,2.547927
JHOS-4,140,EPZ5676,136,5.454302
LOXIMVI,52,CX-5461,108,3.750656
HOS,543,Uprosertib,375,2.211508
LN-18,450,Panobinostat,267,-2.504893
SK-MES-1,774,ZG-10,408,2.522445
KYSE-150,716,JNK Inhibitor VIII,197,4.950217
HCC-15,748,Osimertinib,259,2.527723
786-0,36,5-Fluorouracil,2,4.038799
CAS-1,67,AZD4547,45,1.021775
LOU-NH91,171,ML323,235,6.533674
SF268,11,A-770041,5,1.139408
CAS-1,67,BAY-61-3606,61,1.343253
LN-405,173,Idelalisib,187,4.060245
CHP-134,126,VX-11e,386,4.48244
NOS-1,89,AZD6738,54,1.086107
KLE,451,XMD13-2,400,4.186124
HLE,3,EPZ5676,136,5.590459
MDA-MB-231,50,SB505124,320,4.919569
HEL,381,OTX015,261,-0.090018
HH,438,Shikonin,332,-0.040101
A101D,541,WZ3105,396,2.639921
BEN,679,AS601245,27,2.818428
RKN,183,WZ4003,397,6.362535
L-428,157,Camptothecin,85,-3.451069
Farage,581,Dinaciclib,121,-4.498284
IMR-5,860,Ipatasertib,192,3.725555
L-540,159,EPZ004777,135,4.708427
NCI-H650,793,Methotrexate,225,2.61557
SUP-B8,838,Gemcitabine,153,-5.807834
JURL-MK1,702,Saracatinib,317,1.143448
COLO-792,45,BMS-754807,74,0.750427
HT-1376,444,Selisistat,326,5.894572
SW780,823,SCH772984,323,2.648938
HCC1599,593,AZD8186,57,4.359388
JHH-1,399,Torin 2,359,-2.364109
DU-145,31,AZD4877,46,-3.845215
CRO-AP2,650,KU-55933,206,3.541724
MHH-CALL-2,161,MG-132,226,-1.35711
PL-21,258,Alpelisib,19,1.945213
MFE-319,163,CD532,92,-0.089173
HCC2998,29,Cabozantinib,84,3.357209
HCC2998,29,Zibotentan,409,5.539858
HT-115,328,Torin 2,359,-0.064032
NCI-H1688,533,AICA Ribonucleotide,15,8.263878
Hs-939-T,430,Lapatinib,209,4.43449
8305C,685,NVP-ADW742,250,2.419228
L-428,157,AS605240,28,3.100572
CAL-148,638,BI-2536,65,-2.180301
SU-DHL-16,221,Bicalutamide,68,3.231934
NCI-H2405,480,OSI-027,257,3.153445
GRANTA-519,737,Tamoxifen,346,4.420375
IMR-5,860,Pyridostatin,296,1.342105
CAL-78,629,AZ20,35,1.588494
P12-ICHIKAWA,269,5-Fluorouracil,2,3.756262
A704,572,Afatinib,10,1.500584
ME-180,405,GSK591,171,5.456627
MS751,412,POMHEX,292,1.31609
MY-M12,862,AZD5582,50,-4.087475
WM35,667,UMI-77,370,1.645809
Hs-766T,431,Olaparib,255,6.221051
EBC-1,288,CRT0105950,106,2.414434
MSTO-211H,413,UMI-77,370,2.651248
SW1573,826,Masitinib,224,4.435795
5637,544,UNC1215,374,2.107775
G-401,578,POMHEX,292,-0.577317
BxPC-3,38,AZD6738,54,4.745599
NCI-H838,817,BX795,82,1.830291
Daudi,568,Pyridostatin,296,2.521131
JHH-7,396,QL-X-138,298,1.299342
PSN1,273,Tretinoin,364,3.082686
T24,845,Vorinostat,384,2.656993
SNU-398,842,Epirubicin,133,-1.758756
OPM-2,263,PHA-665752,282,2.679856
RL,763,Alpelisib,19,3.842185
NCI-H2023,506,Serdemetan,329,4.562534
COLO-800,314,Pictilisib,286,1.995215
NCI-H522,27,BAM7,60,4.350167
LU-134-A,135,JQ12,199,2.200676
JiyoyeP-2003,545,AZD1332,40,3.068715
ES8,106,PLX-4720,290,4.559841
OACM5-1,252,CAY10566,87,3.621611
JHH-7,396,AZD8186,57,5.518454
HuH-7,373,VX-702,387,3.708808
OVKATE,271,KU-55933,206,6.218974
Ramos-2G6-4C10,873,Tretinoin,364,2.2842
HCC202,589,Luminespib,222,-2.305001
NCI-H1793,508,NPK76-II-72-1,245,5.590664
HH,438,AZD1480,41,2.142851
SUP-B15,837,SN-38,335,-6.672844
MHH-CALL-4,198,Sabutoclax,314,-0.926917
DND-41,645,MG-132,226,-2.092222
B-CPAP,680,CRT0105950,106,0.846441
WM1552C,669,ZSTK474,412,-1.089254
SK-N-FI,770,AZD8931,59,2.068432
DG-75,647,Erlotinib,137,2.91825
NCI-H2122,463,P22077,263,3.745509
JM1,454,GDC0810,151,3.681262
SW156,825,SCH772984,323,4.410924
DG-75,647,UNC1215,374,2.428173
SK-MEL-24,777,Lestaurtinib,214,0.070766
KM-H2,705,Dacarbazine,114,4.957575
GRANTA-519,737,NSC-87877,247,4.928864
IST-MES1,77,GSK690693,173,4.821002
GI-ME-N,79,VE821,377,4.56267
NCI-H841,803,Navitoclax,240,2.267967
NCI-H1734,493,A-83-01,6,4.226532
LoVo,564,Kobe2602,205,5.560032
KS-1,347,CMK,100,0.013491
LK-2,340,NG-25,242,2.852759
HuO-3N1,372,BIX02189,69,5.170347
SU-DHL-8,236,Ribociclib,306,1.973159
A427,546,CAY10566,87,2.215754
ME-1,168,BAY-61-3606,61,4.932543
NCI-H2170,473,OSI-930,258,4.348644
NCI-H510A,627,Gefitinib,152,2.509326
SK-N-DZ,771,Ara-G,25,5.93573
P30-OHK,191,AZD6094,52,2.163953
SISO,213,RU-SKI 43,309,3.367531
MHH-PREB-1,207,C-75,83,4.236728
NU-DUL-1,251,Gefitinib,152,2.826808
KARPAS-299,698,JW-7-24-1,200,-0.05449
BE2-M17,866,S-Trityl-L-cysteine,313,0.821124
23132-87,670,AST-1306,29,1.958669
HH,438,GSK2578215A,163,5.734392
FU-OV-1,724,Piperlongumine,289,1.878002
KYSE-150,716,Savolitinib,318,1.700919
NCI-H2066,470,GSK591,171,6.4651
HT-1080,556,N-acetyl cysteine,239,9.883704
HT-1376,444,Tipifarnib,356,2.577279
TGW,154,FTY-720,148,1.316113
U251,24,PF-00299804,276,1.880827
A388,535,FMK,144,5.41223
HARA,383,CPI-637,104,3.981912
KS-1,347,Luminespib,222,-3.790817
SF539,10,Romidepsin,308,-5.431634
HCC2157,522,AS601245,27,2.116734
PEO1,274,OSI-930,258,4.676084
HCC1187,599,GSK1070916,160,-3.67542
L-1236,146,OTX015,261,-2.552782
LC4-1,341,C-75,83,3.500806
NALM-6,242,AZD5363,48,0.536337
OS-RC-2,86,GSK319347A,168,4.297816
NCI-H2052,471,Phenformin,284,10.461163
ES8,106,KIN001-270,204,3.471887
VCaP,751,Motesanib,237,6.661836
H-EMC-SS,329,CZC24832,112,6.688971
DND-41,645,Amuvatinib,22,2.392958
NCI-H2196,486,Lapatinib,209,4.642972
HT-3,445,GSK2606414,164,3.745264
KY821,345,GSK2578215A,163,3.850031
J82,456,GNE-317,155,4.550438
Caov-3,619,NVP-BHG712,251,3.21595
SW1271,820,Buparlisib,80,2.525398
CAS-1,67,Irinotecan,193,4.334104
NCI-H1563,505,LIMK1 inhibitor BMS4,217,5.312813
NB14,101,Uprosertib,375,1.513855
TE-1,193,NG-25,242,5.140239
HCC70,440,BMS-536924,73,3.846394
NCI-H720,789,Remodelin,305,4.051924
NCI-H720,789,Kobe2602,205,2.658081
M059J,426,AST-1306,29,2.138934
CAL-29,636,SNX-2112,336,-1.775561
UWB1.289,549,FR-180204,146,4.505547
KATOIII,452,GDC0810,151,4.863308
NCI-H292,295,AZD5363,48,1.770111
D-247MG,402,AZD1208,39,4.901524
NCI-H2023,506,Refametinib,304,2.755588
451Lu,869,Bicalutamide,68,5.602727
MY-M12,862,BI-2536,65,-4.49647
OV-7,276,VX-702,387,1.006384
G-402,577,IMD-0354,189,0.50323
HCC1599,593,Pemetrexed,274,0.843742
HTC-C3,298,BPTES,77,2.910355
MONO-MAC-6,708,EPZ5676,136,3.383985
CESS,617,Ipatasertib,192,0.657497
KARPAS-422,696,PI-103,285,-2.747611
A549,612,KU-60019,207,2.428678
TOV-112D,831,AZD5363,48,3.255164
AMO-1,681,TW 37,367,-0.057911
NCI-H841,803,MK-2206,233,4.077436
L-1236,146,GSK690693,173,3.436053
TE-10,179,Staurosporine,339,-3.227362
COR-L311,309,Apitolisib,23,-0.299006
NB12,103,CUDC-101,107,-3.55538
TGW,154,Podophyllotoxin bromide,291,-2.657454
D-336MG,401,Sorafenib,337,1.993521
RPMI-7951,761,Teniposide,352,-1.803613
WM35,667,BX795,82,1.215703
COR-L105,313,Bryostatin 1,79,-3.357364
SK-MEL-28,8,CCT007093,90,5.637404
MDA-MB-468,406,Y-39983,404,4.432508
HCC1806,592,AT7867,32,2.759237
NCI-H2135,462,kb NB 142-70,201,2.249857
786-0,36,KIN001-244,202,2.757034
U-2-OS,852,LIMK1 inhibitor BMS4,217,3.599395
NCI-H82,800,UNC0642,373,1.937614
OAW-28,283,Camptothecin,85,-2.464299
NCI-H211,465,PF-562271,278,1.141816
NCI-H187,516,Bryostatin 1,79,-1.912052
NCI-H2291,483,Bortezomib,75,-4.411036
HCC1419,597,SCH772984,323,3.189259
COR-L105,313,AZD3514,43,2.637922
RCC-JF,552,Temsirolimus,351,-0.926612
BICR78,301,LDN-193189,211,0.882533
DMS-114,586,Y-39983,404,5.903057
OCI-AML5,267,(5Z)-7-Oxozeaenol,0,-0.286898
IM-95,386,alpha-lipoic acid,20,7.416581
SCC-4,755,Dinaciclib,121,-3.069007
HCC38,441,AKT inhibitor VIII,16,2.131873
TE-8,156,AZD3759,44,1.824532
MOLP-8,245,Docetaxel,123,-3.406018
HCC2157,522,Pilaralisib,288,2.072417
NCI-H1048,422,BX795,82,0.617554
COLO-679,125,Tanespimycin,347,-0.553808
NCI-H1793,508,Vinorelbine,381,-1.904082
KARPAS-299,698,VX-702,387,2.240302
MDA-MB-415,408,IMD-0354,189,1.314402
IM-95,386,Staurosporine,339,-2.774037
NCI-H1436,459,FTY-720,148,2.48108
OCI-AML5,267,Elephantin,127,3.779443
KYSE-150,716,Panobinostat,267,-2.652295
HDQ-P1,740,Fludarabine,143,6.324744
TE-9,155,I-BET-151,180,1.726342
SW1088,819,SB505124,320,3.927523
PE-CA-PJ15,275,Temsirolimus,351,1.290803
NCI-H1648,500,AZD8186,57,1.375018
RO82-W-1,73,HG-5-88-01,178,3.207173
NCI-H2135,462,IC-87114,185,5.395244
ML-2,249,CGP-60474,95,-2.251027
OSC-20,354,Rucaparib,310,3.805718
NB69,91,BEN,63,3.359045
RCC-ER,554,LGK974,216,4.941963
COR-L321,307,RVX-208,312,5.121172
KYSE-220,343,PCI-34051,270,3.557626
RT4,759,HG-5-88-01,178,4.839151
MHH-NB-11,206,GDC0810,151,4.128495
KURAMOCHI,346,BEN,63,6.897046
MN-60,248,UNC1215,374,2.414647
SNU-C1,856,Selumetinib,327,0.933451
NCI-H2023,506,QL-X-138,298,3.553349
HCC-15,748,Dasatinib,119,2.529458
UACC-257,23,PD0325901,271,-2.754053
ME-1,168,JW-7-24-1,200,2.004826
NCI-H69,790,NPK76-II-72-1,245,3.03263
SHP-77,752,PF-00299804,276,2.21824
LS-180,446,AZ960,38,3.027271
P12-ICHIKAWA,269,ABT737,7,-1.673246
CW-2,123,VX-11e,386,3.194951
NCI-H1755,492,EPZ004777,135,5.214433
KON,388,Amuvatinib,22,4.086628
SNU-1,813,CAY10603,88,0.174646
NCI-H1651,498,SGC-CBP30,330,4.455722
H9,875,PD0325901,271,-3.916102
NCI-H1299,417,Thapsigargin,355,-5.803259
D-263MG,487,NSC319726,248,0.164552
LS-411N,427,SB505124,320,2.9583
HEL,381,FMK,144,4.703094
BT-483,605,A-366,3,7.87838
KELLY,697,PD0325901,271,1.484002
RCC-FG2,553,AST-1306,29,0.973493
SK-N-SH,769,Phenformin,284,8.259168
NCI-H1355,415,IC-87114,185,6.290735
LU-165,132,Bryostatin 1,79,-1.654001
COLO-800,314,Refametinib,304,-1.351997
CADO-ES1,658,IC-87114,185,5.468144
IST-MES1,77,I-BET-762,181,1.148898
Hey,664,AZD8931,59,1.879817
SNG-M,196,5-Fluorouracil,2,4.611008
HCC-366,746,LJI308,220,4.984945
SNU-C5,299,AGI-5198,12,5.425537
UMC-11,844,IWP-2,195,3.419402
CESS,617,Mitoxantrone,231,-3.695582
ALL-SIL,682,Acetalax,8,5.260991
MG-63,319,GW441756,175,4.252148
A172,540,WYE-125132,394,2.605984
KLE,451,SGC0946,331,2.726759
HCC2218,521,PF-562271,278,3.656286
TE-6,158,Fulvestrant,149,5.197916
TALL-1,194,AZD4547,45,1.490064
RCH-ACV,257,AZD5582,50,0.801961
SJRH30,766,Nelarabine,241,5.767396
SNU-16,812,JNJ38877605,196,6.249122
SF126,202,STF-62247,340,4.945572
LCLC-103H,175,Refametinib,304,4.015877
DK-MG,646,Temozolomide,350,7.389938
AN3-CA,611,GSK1059615,159,-4.029305
NCI-H2196,486,KU-55933,206,6.340414
BV-173,659,WIKI4,392,2.16461
SUP-T1,818,LCL161,210,5.521357
U-266,231,EHT-1864,126,1.986528
SW1710,234,AZD5438,49,2.910409
HSC-4,376,AS601245,27,2.856766
ML-2,249,Selisistat,326,5.200752
HCC1937,591,Temsirolimus,351,1.831835
VAL,230,VX-11e,386,2.966816
KATOIII,452,BIBR-1532,67,6.069572
NCI-H292,295,MIRA-1,229,4.992519
DG-75,647,Lapatinib,209,1.972359
KYSE-450,712,Kobe2602,205,4.403566
NCI-H2110,464,FMK,144,5.306366
KOSC-2,387,WZ3105,396,-0.16853
GCIY,116,Methotrexate,225,1.355182
ECC10,121,WZ3105,396,-1.553051
NCI-H2029,490,AS605240,28,3.805626
SW1463,561,AZD8835,58,2.933712
SU-DHL-6,224,Pilaralisib,288,1.940228
PANC-04-03,806,BPTES,77,2.250268
HCC1937,591,SGC0946,331,1.600118
HuO-3N1,372,PD173074,272,3.644152
HCC38,441,GSK650394,172,4.082622
WM35,667,Gefitinib,152,3.073657
HuP-T4,325,AGI-5198,12,4.342648
BL-41,674,Sabutoclax,314,-3.842782
TE-1,193,SGC0946,331,3.091347
NCI-H446,661,CGP-082996,94,3.818446
LAN-6,160,FTI-277,147,2.755996
MFE-319,163,Foretinib,145,2.126839
SNU-387,841,Tanespimycin,347,1.395322
KATOIII,452,ZM447439,410,4.680437
ES6,107,Gemcitabine,153,-0.706237
COLO-320-HSR,566,Kobe2602,205,4.886442
SU-DHL-10,208,Doxorubicin,125,-1.471591
U-2-OS,852,Ispinesib Mesylate,194,0.625551
JHH-6,397,Gefitinib,152,4.019505
GAMG,734,Palbociclib,266,3.477809
NCI-H1563,505,YM201636,406,0.84426
RT4,759,EPZ5676,136,5.799869
SAS,181,AZD6482,53,1.484883
PANC-03-27,807,Quizartinib,302,2.374589
MKN1,113,KU-55933,206,5.933168
NCI-H2023,506,ARRY-520,26,1.486267
DMS-114,586,ZM447439,410,2.374598
HuP-T4,325,Olaparib,255,4.833956
NB7,55,Axitinib,34,2.45312
BT-20,606,Pemetrexed,274,5.339537
D-392MG,335,HG-5-113-01,177,2.502445
TE-11,178,LFM-A13,215,4.318437
ABC-1,296,IOX2,190,3.074726
SW1573,826,Camptothecin,85,-2.523269
NCI-H1092,421,JQ12,199,2.638319
NCI-H1915,515,ACY-1215,9,1.217278
OVCA420,663,POMHEX,292,1.787225
no-11,362,Pazopanib,269,2.128134
HCC2157,522,CZC24832,112,3.592791
PFSK-1,801,NPK76-II-72-1,245,2.2778
SIMA,214,KIN001-270,204,4.496317
RERF-LC-KJ,186,ML323,235,4.877903
MSTO-211H,413,CP466722,101,4.578202
NCI-H2066,470,Talazoparib,345,6.197252
MOLP-8,245,SB216763,319,4.695017
A3-KAW,297,Teniposide,352,-3.482333
LS1034,447,Paclitaxel,265,-0.164152
SU-DHL-8,236,Parthenolide,268,0.733823
P32-ISH,189,L-Oxonoreleagnine,208,2.379123
GDM-1,736,LFM-A13,215,4.972605
BICR31,5,AZ6102,36,1.630494
U-CH2,846,MK-1775,232,3.889527
MKN28,105,alpha-lipoic acid,20,8.038901
NCI-H526,797,Acetalax,8,5.836114
BL-41,674,Fulvestrant,149,3.222205
IST-SL2,80,Omipalisib,256,-4.029443
ALL-SIL,682,UMI-77,370,2.749987
Hs-445,435,Ibrutinib,184,3.030219
MEG-01,320,Wnt-C59,393,3.903031
IGROV-1,54,AGI-6780,13,3.929712
GA-10,576,Navitoclax,240,4.081395
KYSE-410,713,FH535,141,1.83411
GAK,336,Romidepsin,308,-6.299234
TT2609-C02,232,Zibotentan,409,5.30629
HCT-15,531,alpha-lipoic acid,20,7.407048
WSU-DLCL2,228,Thapsigargin,355,1.508509
